layer,field,alias,type,length,nullable,domain,codedValues
Entryways-Accessible,isa_sign,ADA Sign,String,5,True,Entryways_isa_sign_85b0e65c-07db-4d82-8d36-0ede3d6471af,Y=Yes; N=No
Entryways-Accessible,entrance_name,Entrance Name,String,50,True,,
Entryways-Accessible,image_url,Image URL,String,5000,True,,
Entryways-Accessible,facility_id,Facility ID,String,255,True,,
Entryways-Accessible,created_user,Created User,String,255,True,,
Entryways-Accessible,created_date,Created Date,Date,29,True,,
Entryways-Accessible,last_edited_user,Last Edited User,String,255,True,,
Entryways-Accessible,last_edited_date,Last Edited Date,Date,29,True,,
Entryways-Accessible,validationstatus,Validation status,SmallInteger,,True,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Entryways-Accessible,project_number,Project Number,String,255,True,,
Entryways-Accessible,change_type,Edit Type,String,100,True,,
Entryways-Accessible,edit_comment,Edit_Comment,String,255,True,,
